invoice_no,transaction_date,customer_id,description,category,order_city_cleaned,order_postal,state,region,latitude,longitude,quantity,costs,profit_per_unit,baseline_shipping_cost,hypothesis_factor,hypothesis_shipping_cost,profit_before_shipping,profit_after_baseline,profit_after_hypothesis
536460,12/1/2020 12:22,14849,Pet Odor Eliminator,Cleanig Supplies,henderson,42420-2725,KY,Central,377.672,-875.574,4,4,6.14,12.4,0.6,9.6,24.56,12.16,14.96
536466,12/1/2020 12:23,14849,Rechargeable Pet Nail Grinder,Grooming,henderson,42420-2725,KY,Central,377.672,-875.574,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536464,12/1/2020 12:23,17968,Earth Rated Dog Poop Bags,Disposables,bellevue,98004-6725,WA,West,476.144,-1.221.923,1,4,6.7,4,1.0,4,6.7,2.7,2.7
536464,12/1/2020 12:23,17968,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,bellevue,98004-6725,WA,West,476.144,-1.221.923,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536464,12/1/2020 12:23,17968,Pet Odor Eliminator,Cleanig Supplies,bellevue,98004-6725,WA,West,476.144,-1.221.923,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
,12/1/2020 12:23,17968,Rechargeable Pet Nail Grinder,Grooming,bellevue,98004-6725,WA,West,476.144,-1.221.923,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536464,12/1/2020 12:23,17968,Sheba Perfect Portions Pat Wet Cat Food,Food,bellevue,98004-6725,WA,West,476.144,-1.221.923,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
536477,12/1/2020 12:27,16210,Canned Cat Food,Food,reno,89521-8364,NV,West,395.293,-1.198.137,80,9,8.34,506.7,0.3,216.0,667.2,160.5,451.2
536477,12/1/2020 12:27,16210,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,reno,89521-8364,NV,West,395.293,-1.198.137,3,20,30.7,48.0,0.6,36.0,92.1,44.1,56.1
536488,12/1/2020 12:31,17897,Rechargeable Pet Nail Grinder,Grooming,sterling,20164-2329,VA,East,390.016,-774.032,2,5,10.5,8.5,0.8,8.0,21.0,12.5,13.0
536502,12/1/2020 12:36,16552,Dog and Puppy Pads,Disposables,troy,12180-5425,NY,East,427.284,-736.918,1,5,11.7,5,1.0,5,11.7,6.7,6.7
536502,12/1/2020 12:36,16552,Pet Odor Eliminator,Cleanig Supplies,troy,12180-5425,NY,East,427.284,-736.918,3,4,6.14,9.6,0.6,7.2,18.42,8.82,11.22
536502,12/1/2020 12:36,16552,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,troy,12180-5425,NY,East,427.284,-736.918,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536520,12/1/2020 12:43,14729,Sheba Perfect Portions Pat Wet Cat Food,Food,munster,46321-3427,IN,Central,415.645,-875.125,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
536522,12/1/2020 12:49,15012,Earth Rated Dog Poop Bags,Disposables,east boston,02128-1968,MA,East,423.751,-710.392,1,4,6.7,4,1.0,4,6.7,2.7,2.7
536525,12/1/2020 12:54,14078,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,trinity,34655-4974,FL,East,,,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536526,12/1/2020 12:58,14001,Earth Rated Dog Poop Bags,Disposables,ruskin,33570-2802,FL,East,277.209,-824.332,2,4,6.7,6.8,0.8,6.4,13.4,6.6,7.0
536528,12/1/2020 13:17,15525,Rechargeable Pet Nail Grinder,Grooming,montgomery city,63361-4617,MO,Central,389.775,-915.049,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536528,12/1/2020 13:17,15525,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,montgomery city,63361-4617,MO,Central,389.775,-915.049,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536530,,17905,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,virginia beach,23453-6656,VA,East,36.853,-759.774,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536531,12/1/2020 13:23,15485,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,st louis park,55416-2949,MN,Central,449.486,-93.365,14,9,6.3,90.9,0.3,37.8,88.2,-2.69999999999999,50.4
536532,12/1/2020 13:24,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,,,,,,,2,5,15.7,8.5,0.8,8.0,31.4,22.9,23.4
536532,12/1/2020 13:24,12433,Sheba Perfect Portions Pat Wet Cat Food,Food,phoenixville,19460-6702,PA,East,401.304,-755.149,12,2.5,2.6,21.75,0.3,9.0,31.2,9.45,22.2
536536,12/1/2020 13:45,18144,Pet Odor Eliminator,Cleanig Supplies,appleton,54914-6428,WI,Central,442.611,-884.068,14,4,6.14,40.4,0.3,16.8,85.96,45.56,69.16
536537,12/1/2020 13:51,15922,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,londonderry,3053,NH,East,428.651,-71.374,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536539,12/1/2020 14:03,15165,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,chevy chase,20815-4261,MD,East,389.824,-770.846,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536539,12/1/2020 14:03,15165,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,chevy chase,20815-4261,MD,East,389.824,-770.846,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536542,12/1/2020 14:11,,Dog and Puppy Pads,Disposables,,,,,,,6,5,11.7,22.5,0.5,15.0,70.2,47.7,55.2
536542,12/1/2020 14:11,16456,Earth Rated Dog Poop Bags,Disposables,new york,10128,NY,East,407.648,-739.808,7,4,6.7,20.8,0.5,14.0,46.9,26.1,32.9
536542,12/1/2020 14:11,16456,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,new york,10128,NY,East,407.648,-739.808,5,6,3.7,22.8,0.5,15.0,18.5,-4.3,3.5
536544,12/1/2020 14:32,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,,,,,,,1,5,42.82,5,1.0,5,42.82,37.82,37.82
536544,12/1/2020 14:32,,Dog and Puppy Pads,Disposables,,,,,,,1,5,29.46,5,1.0,5,29.46,24.46,24.46
536544,12/1/2020 14:32,,Earth Rated Dog Poop Bags,Disposables,,,,,,,1,4,20.26,4,1.0,4,20.26,16.26,16.26
536544,12/1/2020 14:32,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,,,,,,,6,9,26.46,40.5,0.5,27.0,158.76,118.26,131.76
536544,12/1/2020 14:32,,Rechargeable Pet Nail Grinder,Grooming,,,,,,,2,5,35.82,8.5,0.8,8.0,71.64,63.14,63.64
536544,12/1/2020 14:32,,Sheba Perfect Portions Pat Wet Cat Food,Food,,,,,,,1,2.5,7.46,2.5,1.0,2.5,7.46,4.96,4.96
536544,12/1/2020 14:32,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,,,,,,,7,20,41.32,104.0,0.5,70.0,289.24,185.24,219.24
536557,12/1/2020 14:41,17841,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,great falls,22066-1101,VA,East,389.982,-772.883,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536557,12/1/2020 14:41,17841,NexGard Chew for Dogs,Food,great falls,22066-1101,VA,East,389.982,-772.883,1,7,8.7,7,1.0,7,8.7,1.7,1.7
536557,12/1/2020 14:41,17841,ProBiotic Supplements for Dogs,Supplements,great falls,22066-1101,VA,East,389.982,-772.883,4,7,3.5,21.7,0.6,16.8,14.0,-7.7,-2.8
536560,12/1/2020 15:00,13093,ProBiotic Supplements for Dogs,Supplements,pomona,91766-1941,CA,West,340.554,-1.177.517,8,7,3.5,41.3,0.4,22.4,28.0,-13.3,5.6
536560,12/1/2020 15:00,13093,Rechargeable Pet Nail Grinder,Grooming,pomona,91766-1941,CA,West,340.554,-1.177.517,2,5,7.5,8.5,0.8,8.0,15.0,6.5,7.0
536562,12/1/2020 15:08,13468,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,torrance,90505,CA,West,338.358,-1.183.406,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536569,12/1/2020 15:35,16274,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,brooklyn,11226-1152,NY,East,406.922,-739.902,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536575,12/1/2020 16:01,13777,Dog and Puppy Pads,Disposables,fort myers,33905-7699,FL,East,266.406,-818.723,22,5,9.3,78.5,0.3,33.0,204.6,126.1,171.6
536576,12/1/2020 16:11,13777,Dog and Puppy Pads,Disposables,fort myers,33905-7699,FL,East,266.406,-818.723,22,5,9.3,78.5,0.3,33.0,204.6,126.1,171.6
536576,12/1/2020 16:11,13777,Earth Rated Dog Poop Bags,Disposables,fort myers,33905-7699,FL,East,266.406,-818.723,5,4,4.9,15.2,0.5,10.0,24.5,9.3,14.5
536577,12/1/2020 16:13,13777,Pet Grooming Brush,Grooming,fort myers,33905-7699,FL,East,266.406,-818.723,10,5,4.7,36.5,0.3,15.0,47.0,10.5,32.0
536581,12/1/2020 16:19,13777,Earth Rated Dog Poop Bags,Disposables,fort myers,33905-7699,FL,East,266.406,-818.723,34,4,4.9,96.4,0.3,40.8,166.6,70.2,125.8
536587,12/1/2020 16:33,14142,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,miami beach,33140-4527,FL,East,257.881,-801.273,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536588,12/1/2020 16:49,17069,Rechargeable Pet Nail Grinder,Grooming,plum,15239-2229,PA,East,405.003,-797.495,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536590,12/1/2020 16:52,13065,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,palm springs,92262-0529,CA,West,338.246,-1.165.403,1,5,15.7,5,1.0,5,15.7,10.7,10.7
,12/1/2020 16:52,13065,Dog and Puppy Pads,Disposables,palm springs,92262-0529,CA,West,338.246,-1.165.403,1,5,11.7,5,1.0,5,11.7,6.7,6.7
536591,12/1/2020 16:57,14606,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,skokie,60076-2832,IL,Central,420.334,-877.334,1,6,3.7,6,1.0,6,3.7,-2.3,-2.3
536592,12/1/2020 17:06,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,,,,,,,1,5,42.82,5,1.0,5,42.82,37.82,37.82
536592,12/1/2020 17:06,,Dog and Puppy Pads,Disposables,,,,,,,2,5,29.46,8.5,0.8,8.0,58.92,50.42,50.92
536592,12/1/2020 17:06,,Earth Rated Dog Poop Bags,Disposables,,,,,,,1,4,20.26,4,1.0,4,20.26,16.26,16.26
536592,12/1/2020 17:06,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,,,,,,,4,9,26.46,27.9,0.6,21.6,105.84,77.94,84.24
,12/1/2020 17:06,,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,,,,,,,1,6,17.26,6,1.0,6,17.26,11.26,11.26
536592,12/1/2020 17:06,,Pet Grooming Brush,Grooming,,,,,,,1,5,21.26,5,1.0,5,21.26,16.26,16.26
536592,12/1/2020 17:06,,Pet Odor Eliminator,Cleanig Supplies,,,,,,,2,4,15.14,6.8,0.8,6.4,30.28,23.48,23.88
536592,12/1/2020 17:06,,Sheba Perfect Portions Pat Wet Cat Food,Food,,,,,,,6,2.5,7.46,11.25,0.5,7.5,44.76,33.51,37.26
536592,12/1/2020 17:06,,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,,,,,,,8,20,41.32,118.0,0.4,64.0,330.56,212.56,266.56
536595,12/1/2020 17:24,13576,Canned Cat Food,Food,colorado springs,80917-3544,CO,Central,38.834,-1.048.253,10,9,8.34,65.7,0.3,27.0,83.4,17.7,56.4
536596,12/1/2020 17:29,,ChomChom Pet Hair Remover - Reusable Cat and Dog Hair Remover,Grooming,,,,,,,1,5,15.7,5,1.0,5,15.7,10.7,10.7
536597,12/1/2020 17:35,18011,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,fircrest,98466,WA,West,472.317,-1.225.143,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536597,12/1/2020 17:35,,Sheba Perfect Portions Pat Wet Cat Food,Food,,,,,,,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
536600,12/2/2020 08:32,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536602,12/2/2020 08:34,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536607,12/2/2020 09:29,17732,Dog and Puppy Pads,Disposables,midvale,84047,UT,West,406.111,-1.118.999,1,5,11.7,5,1.0,5,11.7,6.7,6.7
536607,,17732,Earth Rated Dog Poop Bags,Disposables,midvale,84047,UT,West,406.111,-1.118.999,2,4,6.7,6.8,0.8,6.4,13.4,6.6,7.0
536607,12/2/2020 09:29,17732,Milk-Bone MaroSnacks Dog Treats with Real Bone,Food,midvale,84047,UT,West,406.111,-1.118.999,2,6,3.7,10.2,0.8,9.6,7.4,-2.8,-2.2
536607,12/2/2020 09:29,17732,Pet Odor Eliminator,Cleanig Supplies,midvale,84047,UT,West,406.111,-1.118.999,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
536607,12/2/2020 09:29,17732,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,midvale,84047,UT,West,406.111,-1.118.999,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536609,12/2/2020 09:41,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536612,,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536616,12/2/2020 10:10,17925,Canned Cat Food,Food,yorktown,23692-4087,VA,East,372.379,-765.081,12,9,8.34,78.3,0.3,32.4,100.08,21.78,67.68
536617,12/2/2020 10:17,13941,ProBiotic Supplements for Dogs,Supplements,orlando,32825,FL,East,285.421,-81.379,4,7,3.5,21.7,0.6,16.8,14.0,-7.7,-2.8
536618,12/2/2020 10:17,17017,Sheba Perfect Portions Pat Wet Cat Food,Food,new castle,16105-4915,PA,East,410.037,-80.347,8,2.5,2.6,14.75,0.4,8.0,20.8,6.05,12.8
536619,12/2/2020 10:18,17017,Rechargeable Pet Nail Grinder,Grooming,new castle,16105-4915,PA,East,410.037,-80.347,2,5,7.5,8.5,0.8,8.0,15.0,6.5,7.0
536627,12/2/2020 10:53,15658,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,chocowinity,27817-9469,NC,East,355.126,-771.009,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536628,12/2/2020 10:54,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536630,12/2/2020 10:56,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
,12/2/2020 11:02,14388,Earth Rated Dog Poop Bags,Disposables,new plymouth,83655-5204,ID,West,439.699,-116.819,2,4,6.7,6.8,0.8,6.4,13.4,6.6,7.0
536633,12/2/2020 11:20,14901,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,baton rouge,70817,LA,Central,304.507,-911.546,2,9,8.7,15.3,0.8,14.4,17.4,2.1,3.0
536633,12/2/2020 11:20,14901,Rechargeable Pet Nail Grinder,Grooming,baton rouge,70817,LA,Central,304.507,-911.546,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536635,12/2/2020 11:22,15955,Indoor Pet Camera (Wi-Fi),Electronics,bedminster,07921-2577,NJ,East,406.807,-746.454,2,7,-0.3,11.9,0.8,11.2,-0.6,-12.5,-11.8
536636,12/2/2020 11:23,,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,,,,,,,6,9,8.7,40.5,0.5,27.0,52.2,11.7,25.2
536637,12/2/2020 11:35,18041,Rechargeable Pet Nail Grinder,Grooming,lynnwood,98087-8427,WA,West,478.279,-1.223.054,1,5,10.5,5,1.0,5,10.5,5.5,5.5
536637,12/2/2020 11:35,18041,Sheba Perfect Portions Pat Wet Cat Food,Food,lynnwood,98087-8427,WA,West,478.279,-1.223.054,1,2.5,2.6,2.5,1.0,2.5,2.6,0.1,0.1
536638,12/2/2020 11:41,16244,Indoor Pet Camera (Wi-Fi),Electronics,bronx,10456-5747,NY,East,408.262,-739.231,1,7,-0.3,7,1.0,7,-0.3,-7.3,-7.3
536643,12/2/2020 11:57,14390,Earth Rated Dog Poop Bags,Disposables,rathdrum,83858-8514,ID,West,478.124,-1.168.966,1,4,6.7,4,1.0,4,6.7,2.7,2.7
536667,12/2/2020 12:09,15260,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,rangeley,04970-4257,ME,East,449.664,-706.428,2,9,8.7,15.3,0.8,14.4,17.4,2.1,3.0
536667,12/2/2020 12:09,15260,ProBiotic Supplements for Dogs,Supplements,rangeley,04970-4257,ME,East,449.664,-706.428,1,7,7.7,7,1.0,7,7.7,0.7,0.7
536667,12/2/2020 12:09,15260,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,rangeley,04970-4257,ME,East,449.664,-706.428,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536681,12/2/2020 12:22,17287,Pet Odor Eliminator,Cleanig Supplies,georgetown,78628,TX,Central,306.327,-976.772,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
536681,12/2/2020 12:22,17287,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,georgetown,78628,TX,Central,306.327,-976.772,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536685,12/2/2020 12:23,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,2,5,9.3,8.5,0.8,8.0,18.6,10.1,10.6
536690,12/2/2020 12:25,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536707,12/2/2020 12:33,12915,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,long beach,90803-4434,CA,West,337.775,-1.181.885,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536732,12/2/2020 12:47,15544,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,saint louis,63124-1601,MO,Central,38.63,-90.19,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
,12/2/2020 12:47,15544,Taste of the Wild High Prairie Grain-Free Dry Dog Food 40lb,Food,saint louis,63124-1601,MO,Central,38.63,-90.19,1,20,41.5,20,1.0,20,41.5,21.5,21.5
536741,12/2/2020 13:11,13117,Pet Odor Eliminator,Cleanig Supplies,redondo beach,90278-3725,CA,West,338.456,-1.183.887,2,4,6.14,6.8,0.8,6.4,12.28,5.48,5.88
536742,12/2/2020 13:14,16916,Litter Slide Multi-Cat Scented Clumping Clay Cat Litter,Disposables,croydon,19021-6909,PA,East,400.873,-749.035,1,9,8.7,9,1.0,9,8.7,-0.300000000000001,-0.300000000000001
536749,12/2/2020 13:49,17976,Dog and Puppy Pads,Disposables,bellingham,98226-9441,WA,West,487.544,-1.224.789,1,5,11.7,5,1.0,5,11.7,6.7,6.7
536749,,17976,Pet Odor Eliminator,Cleanig Supplies,bellingham,98226-9441,WA,West,487.544,-1.224.789,1,4,6.14,4,1.0,4,6.14,2.14,2.14
,12/2/2020 14:04,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,2,5,9.3,8.5,0.8,8.0,18.6,10.1,10.6
536752,12/2/2020 14:06,17850,Dog and Puppy Pads,Disposables,heathsville,22473-2244,VA,East,379.176,-764.722,1,5,9.3,5,1.0,5,9.3,4.3,4.3
536754,,14449,Canned Cat Food,Food,chicago,60611-2590,IL,Central,418.756,-876.244,1,9,10.5,9,1.0,9,10.5,1.5,1.5
